completionCode,age,language,otherlg,school
CO439307,29,Türkçe,Türkçe İngilizce,Yüksek Lisans
CO695316,28,Türkçe,İngilizce,Yüksek Lisans
CO448745,29,TR,ENG,LİSANS
CO202632,29,Türkçe,"İngilizce, İspanyolca",Lisans mezunu
CO16811,24,türkçe,ingilizce,lisans
CO703295,25,Türkçe,İngilizce,Lisans
CO745806,21,Türkçe,İngilizce,Üniversite 
CO606387,22,Türkçe,İngilizce,Lisans
CO520146,32,Türkçe,İngilizce,Lisans
CO470488,53,Türkçe,"İngilizce, Fransızca",Doktora
CO263824,21,Türkçe,İngilizce,Lisans
CO490300,29,Türkçe,Yok,Yüksek lisans 
CO438265,23,türkçe,"türkçe,ingilizce",üniversite öğrencisi
CO15242,38,Türkçe ,Türkçe ,Lisans 
CO420207,34,Türkçe,İngilizce,Üniversite
CO339043,27,Türkçe,"İngilizce, Fransızca, biraz Almanca",Yüksek lisans mezunu
CO970457,26,Türkçe,"İngilizce, Portekizce",Lisans
CO937903,28,Türkçe,,Üniversite
CO71890,32,Türkçe,İngilizce,Yüksek lisans
CO762194,41,Türkçe,İngilizce,Üniversite
CO834866,46,Türkçe,Türkçe,İlkokul
CO866,23,Türkçe,"Türkçe, İngilizce",Üniversite Mezunu
CO224865,25,Türkçe,İngilizce,Yüksek Lisans
CO680683,51,Türkçe,Türkçe,Ön Lisans
CO676222,26,Türkçe,İngilizce,Yüksek Lisans
CO458293,27,Türkçe,İngilizce,Lisans
CO99214,52,turkçe,,yüksekokul
CO459477,12,türkçe,,ortaokul
CO712108,26,türkçe,ingilizce,lisans mezunu
CO85758,26,türkçe,ingilizce,yüksek lisans
CO483863,13,Türkçe ,yok,ilköğretim 
CO391648,28,Türkçe,"İngilizce (C1) , Fransızca (A2)",Master öğrencisi
CO705199,24,Türkçe,Türkçe İngilizce Almanca,Üniversite BA
CO312940,20,türkçe,,lisans
CO991001,24,türkçe,ingilizce,üniversite öğrencisi
CO531213,27,Türkçe,İngilizce,Lisans
CO289957,25,Türkçe,"İngilizce, İspanyolca",Yüksek Lisans
CO383794,18,Türkçe ,Türkçe ,Lise mezunu 
CO240084,24,Türkçe,İngilizce,Lise mezunu
CO438997,22,Türkçe,İngilizce,Üniversite mezunu
CO112510,50,Türkçe,Yok,Lise Mezunu
CO221848,28,Türkçe,"Türkçe, İngilizce, Korece",Lisans
CO960722,24,Türkçe,İngilizce,Üniversite Mezunu
CO541040,26,Türkçe,İngilizce,Lisans
CO866208,22,Türkçe,Türkçe ve İngilizce,Lisans Öğrencisi
CO37753,22,Türkçe,İngilizce,Lisans
CO994419,31,Türkçe,Türkçe İngilizce,Yüksek lisans
