english,turkish_base,base_freq,stem_freq,freq_conj1,freq_conj2
mother and father,anne ve baba,16742,131657,2590557,2342610
cat and dog,kedi ve köpek,3876,12939,411015,536879
table and chair,masa ve sandalye,3251,9779,769513,204951
lemon and orange,limon ve portakal,748,1017,240769,152230
brother and sister,abi ve abla,93,1668,802930,259824
knowledge and science,ilim ve bilim ,769,1513,507088,2041773
door and window,kapı ve pencere,4173,9745,1718928,421891
house and garden,ev ve bahçe,752,2048,6393119,992145
city and village,şehir ve köy,369,1699,3335649,1806935
pants and t-shirt,pantolon ve t-shirt,47,51,127240,9550
mouse and lion,fare ve aslan,0,1,204542,113645
horse and fish,at ve balık,10,123,4713929,1162736
hat and scarf,atkı ve şapka,69,151,32325,109582
cup and lamp,bardak ve lamba,0,0,640366,151709
farm and factory,çiftlik ve fabrika,6,53,162962,685630
picture and vase,tablo ve vazo,0,6,654910,29785
hill and river,tepe ve nehir,5,21,451267,284871
school and mosque,okul ve cami,377,1133,3149310,1015902
night and day,gece ve gündüz,10613,13508,2555108,306441
top and bottom,alt ve üst,19335,23751,5144811,3261420
husband and wife,koca ve karı,41,108,567498,259992
knife and tablecloth,örtü ve bıçak,5,7,231562,303002
eyes and ears,göz ve kulak,781,4178,4709484,803606
nose and neck,burun ve boyun,19,56,447133,393486
ghost and monster,hayalet ve canavar,2,41,52524,124166
jungle and desert,orman ve çöl,7,75,798336,130670
banana and carrot,muz ve havuç,20,22,97106,103926
doctor and lawyer,doktor ve avukat,65,307,1481326,724166
dragon and fairy,ejderha ve peri,0,3,42923,72487
blanket and carpet,battaniye ve halı,28,42,52583,342030
socks and shoes,çorap ve ayakkabı,197,505,96390,439970
wedding and funeral,düğün ve cenaze,404,739,495893,405761
